                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.70869,                0.58139,                 1.2165,                0.91125,                0.90763,                0.94158,                0.75471,                0.78115,                0.46615,                 1.3229,             0.00075698,             0.00075698,             0.00075698
                    101,                0.71826,                0.57424,                 1.2178,                 0.9166,                0.92565,                0.94895,                0.75481,                0.77491,                0.45783,                 1.3255,              0.0007525,              0.0007525,              0.0007525
                    102,                0.72262,                0.58583,                 1.2204,                0.91272,                 0.9185,                0.94944,                0.76259,                0.75118,                0.44731,                 1.3071,               0.000748,               0.000748,               0.000748
                    103,                0.71226,                0.58219,                  1.216,                0.90974,                0.93361,                 0.9553,                0.76825,                0.76304,                0.47247,                 1.3099,             0.00074347,             0.00074347,             0.00074347
                    104,                0.70251,                0.56215,                 1.2082,                 0.9226,                0.92932,                0.94558,                0.75445,                0.78721,                0.46486,                 1.3355,             0.00073891,             0.00073891,             0.00073891
                    105,                 0.7156,                0.57945,                 1.2195,                0.91067,                0.93676,                0.94498,                0.76096,                0.77598,                0.44604,                 1.3294,             0.00073433,             0.00073433,             0.00073433
                    106,                0.71442,                0.58614,                 1.2217,                0.91884,                0.91531,                0.94518,                0.76015,                0.78789,                0.45356,                 1.3542,             0.00072973,             0.00072973,             0.00072973
                    107,                0.69817,                0.58018,                 1.2031,                0.92065,                0.93726,                0.94932,                 0.7717,                0.77614,                  0.444,                 1.3241,             0.00072509,             0.00072509,             0.00072509
                    108,                0.68121,                0.54841,                 1.1939,                0.94967,                0.91078,                 0.9521,                0.77095,                0.78221,                0.44797,                 1.3331,             0.00072044,             0.00072044,             0.00072044
                    109,                0.68849,                0.55495,                 1.1971,                 0.9306,                0.92964,                 0.9551,                0.76487,                 0.7798,                0.43153,                 1.3358,             0.00071576,             0.00071576,             0.00071576
                    110,                0.70421,                0.58977,                 1.2101,                0.92384,                  0.932,                0.95656,                0.76526,                0.77741,                0.43756,                 1.3377,             0.00071106,             0.00071106,             0.00071106
                    111,                0.70042,                0.56714,                 1.2095,                0.91756,                0.91781,                0.95311,                0.77242,                0.77512,                0.45145,                 1.3502,             0.00070633,             0.00070633,             0.00070633
                    112,                0.69065,                0.56517,                  1.201,                0.94695,                0.91335,                0.94562,                 0.7675,                0.75755,                 0.4467,                 1.3375,             0.00070159,             0.00070159,             0.00070159
                    113,                0.68339,                0.55069,                 1.1898,                0.94811,                 0.9416,                0.95458,                0.76982,                0.78343,                0.45365,                 1.3486,             0.00069682,             0.00069682,             0.00069682
                    114,                0.69413,                0.55085,                 1.1979,                0.93038,                0.88766,                0.94464,                  0.768,                0.76326,                0.46053,                 1.3214,             0.00069203,             0.00069203,             0.00069203
                    115,                0.68881,                0.55705,                 1.1938,                0.92183,                 0.9205,                0.94549,                0.75955,                0.79096,                0.43987,                 1.3498,             0.00068722,             0.00068722,             0.00068722
                    116,                  0.677,                0.54271,                 1.1849,                0.93502,                0.92698,                0.94647,                0.76221,                0.77859,                0.44244,                 1.3424,             0.00068239,             0.00068239,             0.00068239
                    117,                0.67114,                0.53333,                 1.1864,                0.92963,                0.93034,                0.95309,                0.77001,                 0.7588,                0.42641,                  1.334,             0.00067754,             0.00067754,             0.00067754
                    118,                0.68531,                0.54463,                 1.2003,                0.92024,                0.94226,                0.95144,                0.76848,                 0.7783,                0.43156,                  1.332,             0.00067268,             0.00067268,             0.00067268
                    119,                0.68641,                0.53802,                 1.1903,                0.91417,                0.94678,                0.94703,                0.76797,                0.77144,                 0.4345,                 1.3316,             0.00066779,             0.00066779,             0.00066779
                    120,                0.67024,                 0.5339,                  1.184,                0.88672,                0.94287,                0.94889,                0.77058,                0.76645,                0.44083,                  1.336,             0.00066288,             0.00066288,             0.00066288
                    121,                0.67748,                0.53973,                 1.1916,                0.92573,                0.93528,                0.95445,                0.77543,                0.76617,                0.43437,                 1.3206,             0.00065796,             0.00065796,             0.00065796
                    122,                0.66681,                0.52725,                 1.1878,                0.92996,                0.95104,                0.95621,                0.77644,                 0.7716,                0.40417,                 1.3424,             0.00065303,             0.00065303,             0.00065303
                    123,                0.68193,                0.55125,                 1.1917,                0.90714,                0.92558,                0.95466,                0.76779,                0.78013,                  0.459,                 1.3311,             0.00064807,             0.00064807,             0.00064807
                    124,                0.66118,                0.54419,                 1.1797,                0.92764,                0.93504,                0.95201,                0.77009,                0.76277,                0.42485,                 1.3233,              0.0006431,              0.0006431,              0.0006431
                    125,                0.66128,                0.53034,                 1.1766,                0.92249,                0.93216,                0.94858,                0.76678,                0.76007,                0.43238,                 1.3218,             0.00063812,             0.00063812,             0.00063812
                    126,                0.66562,                0.53685,                 1.1801,                0.91203,                0.92338,                0.94801,                0.76435,                0.78489,                0.43304,                 1.3559,             0.00063312,             0.00063312,             0.00063312
                    127,                 0.6638,                0.54021,                 1.1767,                0.91772,                0.92424,                 0.9483,                0.76636,                0.76802,                0.45568,                 1.3233,              0.0006281,              0.0006281,              0.0006281
                    128,                0.66243,                0.52405,                 1.1737,                0.92884,                0.92233,                0.95577,                 0.7673,                0.78044,                0.44653,                 1.3509,             0.00062307,             0.00062307,             0.00062307
                    129,                0.65605,                0.52186,                 1.1711,                0.94253,                0.92262,                 0.9588,                0.77342,                0.76441,                0.41828,                 1.3138,             0.00061803,             0.00061803,             0.00061803
                    130,                0.65492,                0.52627,                 1.1748,                0.92428,                0.93716,                0.95084,                0.77417,                0.76943,                0.42805,                 1.3203,             0.00061298,             0.00061298,             0.00061298
                    131,                0.65257,                0.51499,                 1.1689,                0.92843,                0.94114,                0.95722,                0.77784,                0.77387,                0.43143,                 1.3442,             0.00060792,             0.00060792,             0.00060792
                    132,                0.65257,                0.51792,                 1.1715,                0.93162,                0.90126,                0.95347,                0.76881,                0.77537,                0.45195,                 1.3352,             0.00060284,             0.00060284,             0.00060284
                    133,                 0.6478,                0.51216,                  1.169,                0.92645,                0.93584,                0.95419,                0.76757,                0.78832,                0.42513,                 1.3645,             0.00059775,             0.00059775,             0.00059775
                    134,                 0.6408,                0.51608,                 1.1719,                0.91547,                0.94029,                0.95012,                0.76857,                0.77902,                0.41677,                 1.3306,             0.00059266,             0.00059266,             0.00059266
                    135,                0.64879,                 0.5081,                 1.1707,                0.95023,                 0.8986,                0.95109,                0.77277,                0.75845,                0.42681,                 1.3366,             0.00058755,             0.00058755,             0.00058755
                    136,                0.63881,                  0.504,                 1.1587,                0.91654,                0.92294,                0.95696,                0.77831,                 0.7599,                0.42205,                 1.3217,             0.00058244,             0.00058244,             0.00058244
                    137,                0.63663,                0.50141,                 1.1655,                0.92801,                0.91792,                0.94783,                0.76798,                0.77736,                0.43393,                 1.3624,             0.00057731,             0.00057731,             0.00057731
                    138,                0.65122,                0.52348,                  1.173,                0.93752,                0.94818,                0.96305,                0.78185,                0.78179,                0.43109,                 1.3668,             0.00057218,             0.00057218,             0.00057218
                    139,                0.63877,                0.50023,                 1.1614,                0.95177,                0.91665,                0.96201,                0.77618,                 0.7874,                0.44708,                 1.3788,             0.00056704,             0.00056704,             0.00056704
                    140,                0.64031,                0.51598,                 1.1653,                0.92566,                0.91087,                0.94018,                0.75834,                0.78119,                 0.4592,                 1.3702,             0.00056189,             0.00056189,             0.00056189
                    141,                0.63163,                0.49376,                 1.1524,                0.91009,                0.93679,                0.94341,                0.76546,                0.76705,                0.42694,                 1.3498,             0.00055674,             0.00055674,             0.00055674
                    142,                0.62776,                0.49464,                 1.1539,                0.93454,                0.93582,                0.95391,                0.77153,                0.76493,                0.41484,                 1.3281,             0.00055158,             0.00055158,             0.00055158
                    143,                0.62812,                0.48266,                 1.1571,                0.92852,                0.90215,                0.95431,                0.77392,                0.74843,                0.43677,                 1.3384,             0.00054642,             0.00054642,             0.00054642
                    144,                 0.6264,                0.48772,                 1.1516,                0.91926,                0.93443,                0.94482,                0.76957,                0.75767,                 0.4293,                  1.323,             0.00054125,             0.00054125,             0.00054125
                    145,                 0.6206,                0.49193,                 1.1559,                0.93996,                  0.913,                0.94701,                0.76727,                0.77394,                0.40713,                 1.3534,             0.00053608,             0.00053608,             0.00053608
                    146,                0.63381,                0.49752,                 1.1658,                0.91333,                0.92949,                0.94694,                0.77269,                0.76482,                0.41548,                 1.3501,             0.00053091,             0.00053091,             0.00053091
                    147,                0.64071,                0.50813,                 1.1603,                0.90505,                0.92085,                0.93604,                0.76657,                0.77596,                0.45233,                 1.3613,             0.00052573,             0.00052573,             0.00052573
                    148,                0.61689,                0.48613,                 1.1487,                0.94131,                0.91986,                0.95553,                 0.7672,                0.75354,                0.44338,                  1.317,             0.00052055,             0.00052055,             0.00052055
                    149,                0.63307,                0.49091,                 1.1596,                0.91047,                0.94473,                 0.9609,                0.77456,                0.76466,                0.42608,                 1.3537,             0.00051537,             0.00051537,             0.00051537
                    150,                0.62514,                0.49584,                 1.1539,                0.91173,                0.92681,                0.94822,                0.77072,                0.75782,                0.41349,                 1.3391,             0.00051018,             0.00051018,             0.00051018
                    151,                0.62391,                0.48529,                 1.1544,                0.92991,                0.90987,                0.94849,                0.76493,                0.78664,                0.43333,                 1.3668,               0.000505,               0.000505,               0.000505
                    152,                 0.6248,                0.48216,                 1.1524,                0.94316,                0.92256,                0.95362,                0.76725,                0.80756,                0.42332,                 1.4003,             0.00049982,             0.00049982,             0.00049982
